,job_id,company_name,designation,industry,experience_req
385,J386,CashKaro.com,Senior Data Manager - Ecommerce,Data Science and Analysis,7-10 Years
386,J387,Default,Growth Marketeer,Marketing,2-6 Years
387,J388,Default,Sales Operations Associate,Sales and Business,2-6 Years
388,J389,Skillikz,Senior AEM Developer With Java,Software Engineering,4-6 Years
389,J390,Uber,Lead Product Operations Manager,Technical Management,9-13 Years
390,J391,Citi,Technical Architect,Software Engineering,12-15 Years
391,J392,DAZN,Senior iOS Engineer,Software Engineering,5-10 Years
392,J393,DAZN,Zendesk Specialist,IT Operations and Support,3-8 Years
393,J394,Delta Air Lines,Lead Engineer - Information Security [T500 - 6533,IT Operations and Support,6-10 Years
394,J395,Delta Air Lines,Senior Data Engineer [T500 - 6964,Software Engineering,3-6 Years
395,J396,IBM,BI Developer,Data Science and Analysis,3-6 Years
396,J397,Intelehealth,Tech Lead,Software Engineering,7-12 Years
397,J398,NimbusPost,Business Development Manager,Sales and Business,4-8 Years
398,J399,Pazago,HR Manager,Human Resources,2-7 Years
399,J400,Symphony Technology Group,SharePoint Developer,Software Engineering,3-5 Years
400,J401,1mg,Software Development Engineer 3,Software Engineering,5-9 Years
401,J402,Blackberrys Menswear,SAP CPI Consultant,Technical Management,5-7 Years
402,J403,Blue Yonder,Data Scientist,Data Science and Analysis,2-3 Years
403,J404,Delta Air Lines,Senior Cyber Security Engineer [T500 - 6961,IT Operations and Support,4-7 Years
404,J405,Gameberry Labs,Product Analyst,Data Science and Analysis,2-4 Years
405,J406,RapidAI,Senior Engineering Manager,Software Engineering,10-15 Years
406,J407,Suraasa,Insides Sales - Counsellor,Sales and Business,1-2 Years
407,J408,Symphony Technology Group,Data Engineer,Software Engineering,1-3 Years
408,J409,TO THE NEW,Character Illustrator,Design and Creative,2-6 Years
409,J410,ZFW Dark Stores,DevOps Engineer,IT Operations and Support,2-7 Years
410,J411,Acies,Full Stack Development,Software Engineering,1-6 Years
411,J412,Advanced Business and Healthcare India,Principal Software Engineer,Software Engineering,9-14 Years
413,J414,BizPilot,Backend Engineer,Software Engineering,1-3 Years
414,J415,BrowserStack,Engineering Manager,Technical Management,5-9 Years
415,J416,JiyoFullest,Business Development Excutive,Sales and Business,2-3 Years
416,J417,Klimb.io,VP Engineering - Mobile App Development,Technical Management,8-13 Years
417,J418,Klimb.io,VP Engineering - Mobile App Development,Technical Management,8-13 Years
418,J419,Optmyzr,HR Admin,Human Resources,1-2 Years
419,J420,Talentedge,Admission Counsellor,Sales and Business,Fresher
420,J421,Baazi Games,Node.js Developer,Software Engineering,2-5 Years
421,J422,Broadridge,BI Administration,IT Operations and Support,8-13 Years
422,J423,Clear,Lead Product Manager - SAAS,Technical Management,7-11 Years
423,J424,Docsumo,Customer Success Manager,Sales and Business,4-7 Years
424,J425,HighLevel,Senior Software Engineer (CRM),Software Engineering,2-6 Years
425,J426,IndiaMART InterMESH,Zonal Manager,Sales and Business,5-10 Years
426,J427,inFeedo,Marketing - SEO,Marketing,Fresher
427,J428,MUFG,Corporate Credit - Analyst,Operations,2-7 Years
428,J429,UNext Learning,BDA,Sales and Business,Fresher
429,J430,Zell Education,Business Development Executive,Sales and Business,Fresher
430,J431,AXS Solutions,Business Development Manager,Sales and Business,3-6 Years
431,J432,AXS Solutions,Tender Executive,Sales and Business,2-5 Years
432,J433,Designoweb,Node.js Developer,Software Engineering,5-6 Years
433,J434,Designoweb,React Native Developer,Software Engineering,5-6 Years
434,J435,Goavega Software,Senior Software Engineer,Software Engineering,5-8 Years
435,J436,Kadel Labs,React.js Developer,Software Engineering,3-6 Years
436,J437,Owens & Minor,NOC Engineer [T500 - 6869,IT Operations and Support,2-5 Years
437,J438,Paktolus Solutions,Business Development Lead Manager,Sales and Business,3-7 Years
438,J439,PocketFM,Lead Product Designer,Design and Creative,6-11 Years
439,J440,TeamLease Regtech,Team Lead - Dot .NET Developer,Software Engineering,5-10 Years
440,J441,Aissel Technologies,Brand Specialist,Marketing,6-8 Years
441,J442,ANSR,Principal Fullstack Engineer [T500 - 6739,Software Engineering,10-15 Years
443,J444,ANSR,Senior Backend Developer - Python [T500 - 6738,Software Engineering,8-12 Years
444,J445,Brisa Technologies,Cloud UI Engineer,IT Operations and Support,4-8 Years
445,J446,Clear,Lead Product Manager - Platform,Technical Management,7-11 Years
446,J447,Ivan Infotech,Web Consultant - Website & Mobile Application ProC,Sales and Business,Fresher
447,J448,Nitara,Software Developer,Software Engineering,2-4 Years
448,J449,NowFloats,Technical Product Manager,Technical Management,3-7 Years
449,J450,sentra.world,VP Engineer,Software Engineering,10-15 Years
450,J451,ANSR,Frontend Developer - React.js [T500 - 6730,Software Engineering,1-4 Years
451,J452,ANSR,Principal Fullstack Engineer [T500 - 6741,Software Engineering,10-15 Years
452,J453,ANSR,Senior Backend Developer - Python [T500 - 6737,Software Engineering,8-12 Years
453,J454,GyanDhan,Relationship Manager,Sales and Business,1-6 Years
454,J455,Nitara,Full Stack Developer,Software Engineering,4-6 Years
455,J456,Potentiam,Site Reliability Engineer,IT Operations and Support,5-6 Years
456,J457,Sopra Steria,Azure Cloud DevOps Engineer,IT Operations and Support,5-6 Years
457,J458,Sopra Steria,Salesforce Developer,Software Engineering,4-5 Years
458,J459,Swimlane,Backend Developer,Software Engineering,4-8 Years
459,J460,Swimlane,Senior Software Engineer (Node.js Developer),Software Engineering,4-8 Years
460,J461,ANSR,Python Backend Developer [T500 - 6727,Software Engineering,4-8 Years
461,J462,ANSR,Senior Data Engineer [T500 - 6728,Software Engineering,8-13 Years
462,J463,ANSR,Senior Quality Engineer,Software Engineering,8-13 Years
463,J464,Hiver,Product Director,Technical Management,8-12 Years
464,J465,Junglee Games,AVP - Designer,Technical Management,10-15 Years
465,J466,Paytm Payments Bank,Java Technical Lead,Software Engineering,6-10 Years
466,J467,Priceline,Software Engineer,Software Engineering,3-7 Years
467,J468,SmartCoin,Compliance / IT Audit Consultant,IT Operations and Support,1-4 Years
468,J469,Swimlane,Senior Frontend Developer,Software Engineering,4-8 Years
469,J470,Tailorbird,Senior Software Developer / Full Stack Developer,Software Engineering,4-9 Years
470,J471,ANSR,Python Developer [T500 - 6672,Software Engineering,1-4 Years
471,J472,Hiver,SDE 2,IT Operations and Support,2-5 Years
472,J473,Juntrax Solutions,Software Engineer,Data Science and Analysis,3-6 Years
473,J474,Kuvera,Engineering Manager - Front End,Technical Management,4-6 Years
474,J475,Niro,Senior Product Manager,Technical Management,6-10 Years
475,J476,Owens & Minor,NOC Engineer [T500 - 6866,IT Operations and Support,2-5 Years
476,J477,Owens & Minor,Service Desk Associate [T500 - 6897,IT Operations and Support,1-5 Years
477,J478,Proxgy,SDE 2 Frontend,Software Engineering,3-5 Years
478,J479,Savage,Software Engineer - React Native,Software Engineering,3-6 Years
479,J480,Verizon Communications,QA Engineer,Software Engineering,4-7 Years
480,J481,DevRev,Backend Developer - CRM,Software Engineering,3-8 Years
481,J482,Flatworld Solutions,Sr. Java Developer,Software Engineering,8-12 Years
482,J483,HDFC Life,Financial Planning Manager,Sales and Business,1-3 Years
483,J484,Kickdrum,Tech Lead,Software Engineering,9-14 Years
484,J485,MOBtexting,Java Test Automation Engineer,Software Engineering,3-5 Years
485,J486,Owens & Minor,Service Desk Associate [T500 - 6890,IT Operations and Support,1-3 Years
486,J487,Owens & Minor,Service Desk Associate [T500 - 6892,IT Operations and Support,1-5 Years
487,J488,Owens & Minor,Service Desk Associate [T500 - 6895,IT Operations and Support,1-5 Years
488,J489,Proxgy,SDE - 2 - Frontend Engineer,Software Engineering,3-7 Years
489,J490,Wayfair,Senior Software Engineer,Software Engineering,6-10 Years
490,J491,Ashok Leyland,Java Developer,Software Engineering,4-6 Years
491,J492,Bipp,Azure Data Engineer,Software Engineering,4-9 Years
492,J493,Bluecore,GCP Data Engineer,Design and Creative,5-10 Years
493,J494,eG Innovations,Java Technical Lead,Software Engineering,8-12 Years
494,J495,Kickdrum,Tech Lead,Software Engineering,9-14 Years
495,J496,Mantra Labs,Scala Developer,IT Operations and Support,3-8 Years
496,J497,Owens & Minor,Service Desk Associate [T500 - 6887,IT Operations and Support,1-5 Years
497,J498,Owens & Minor,Service Desk Associate [T500 - 6888,IT Operations and Support,1-5 Years
498,J499,Viacom18,DevOps Engineer,IT Operations and Support,7-12 Years
499,J500,Y Media Labs,Flutter Developer,Software Engineering,8-12 Years
